id	address	lat	lon
2149612785	Лунская улица, 27	56.3822547	43.806495
2149612786	Лунская улица, 34	56.3824333	43.8077282
2149612788	улица Парашютистов, 93	56.3780522	43.8118971
2497145447	Выселочная улица, 16	56.3864212	43.7784089
2498391313	Земледельческая улица, 48А	56.393184	43.7636591
2498391314	Светлая улица, 49	56.3910082	43.7607888
2508015168	Рябиновая улица, 9	56.383751	43.7673062
2787147367	улица Гоголя, 4А	56.3179518	43.9851256
3213684228	Народная улица, 18	56.3353171	43.9155701
3221628144	Гнилицкая улица, 104	56.2002805	43.7682925
3224412571	Гнилицкая улица, 55	56.2042379	43.7621573
3224434364	Новошкольная улица, 10	56.2041514	43.7709343
3224455652	Тростниковая улица, 16А	56.2029522	43.779438
3224455653	Тростниковая улица, 30	56.2033385	43.7797294
3224458862	Тростниковая улица	56.2035384	43.7800937
3224558013	Зенитная улица, 33	56.3307643	43.8249811
3285370674	улица Академика Вавилова, 137	56.3758585	43.8076089
3285370675	улица Новые Пески, 59	56.3776811	43.8079053
3534925593	Вязниковская улица, 2А п2	56.3093828	43.85083
3804586677		56.3021363	44.0729691
1540694	улица Родионова, 197 к2	56.30122271116352	44.07788935391769
1540701	улица Родионова, 189/24	56.304880715964416	44.07877558517582
1540702	улица Родионова, 193 к3	56.3030736662211	44.07437875687795
1542312	улица Героя Советского Союза Усилова, 2	56.31515924476012	44.049116775380384
1543594	Ильинская улица, 10	56.32792681064873	43.99375395975165
1993125	Большая Покровская улица, 17	56.32254620869585	44.000046723588866
1997404	Большая Покровская улица, 1	56.32590694792489	44.00399779483666
2054769	Верхне-Волжская набережная, 8	56.329173942924044	44.01866923205652
2074815		56.333714135518825	43.87704622963822
2074821	улица Страж Революции, 3А	56.33634588401671	43.881444993141926
2090615	улица Чаадаева, 5Д	56.32994788043236	43.85643148522728
2090616		56.32981013801661	43.85582801044442
2090617		56.330110416729404	43.8564793599542
2091393	улица Красных Зорь, 24	56.33269534572439	43.86875897973381
2093229	Нижне-Печерская улица, 2	56.28710299221361	44.06510806998025
2093230	Нижне-Печерская улица, 6	56.28523426561952	44.06507887190442
2093231	Нижне-Печерская улица, 4	56.286265745403846	44.06507986759543
2103407	Верхнепечёрская улица, 12 к2	56.28731132793686	44.06976740812827
2103408	улица Композитора Касьянова, 5А	56.28927478706106	44.072127913840355
2103409	Казанское шоссе, 23 к1	56.286676079169155	44.07389067523054
2103410	Верхнепечёрская улица, 12	56.28675616504559	44.0689396029473
2103411	Казанское шоссе, 23 к2	56.28640684067937	44.07353210940643
2103412	Верхнепечёрская улица, 12 к1	56.28676981819092	44.07011715880662
2103413	улица Композитора Касьянова, 5	56.28928699153162	44.07097572173307
2112571	Цветочная улица, 1	56.26344662514499	44.01203080707518
2118560	Казанское шоссе, 8 к1	56.28591505110129	44.081028439282896
2118561	Казанское шоссе, 8	56.285473100239	44.08064634123577
2118564	Казанское шоссе, 18	56.28279621281737	44.08038764100432
2118566	Казанское шоссе, 10 к4	56.2865759899984	44.07899362187353
2118567	Казанское шоссе, 10 к2	56.28593625735496	44.079122373456975
2118570	Казанское шоссе, 10 к1	56.2850764565798	44.078881735428695
2118572	Казанское шоссе, 10 к5	56.28676287451287	44.0777108797203
2118577	Казанское шоссе, 8 к3	56.28595376646931	44.079970741459405
2118579	Казанское шоссе, 14 к1	56.28413068906396	44.08085058404201
2118582	Казанское шоссе, 14	56.28452922560813	44.08024032269736
2118587	Казанское шоссе, 10 к5	56.28660301027837	44.07784642569529
2118589	Казанское шоссе, 10 к3	56.28599110682587	44.07832741114336
2166331	Ошарская улица, 77А	56.30472329095363	44.01938435233879
2251944	улица Терешковой, 10	56.27485415322367	43.98786765124849
2277580	Львовская улица, 7	56.26673793959042	43.875016548304544
2277581	Львовская улица, 3А	56.26911311005409	43.87357359317512
2277582	Дворовая улица, 36 к2	56.26790523023645	43.87158507245391
2277583	Львовская улица, 1	56.26735937889751	43.874071427414606
2277584	Львовская улица, 3Б	56.26814381497467	43.87317560140388
2277585	Дворовая улица, 36 к1	56.267669885470696	43.870953425799826
2279412	улица Пермякова, 20	56.27073949666185	43.87411889618933
2279414	Львовская улица, 13	56.269166896972095	43.881049939857455
2279415	улица Пермякова, 34	56.272094509712566	43.87726745918178
2279416	проспект Бусыгина, 45А	56.270722814243086	43.885060824110994
2279418	улица Пермякова, 46	56.273366363079084	43.88084840367507
2282777	улица Советской Армии, 22	56.25864335852272	43.848558005964286
2282781	улица Политбойцов, 23А	56.26283570813463	43.85626214423315
2282792	улица Советской Армии, 18	56.258735056186154	43.85108758180334
2282796	улица Политбойцов, 12	56.26143149968606	43.855666408660305
2282799	улица Плотникова, 4	56.26003765732206	43.854846562576405
2282801	улица Плотникова, 3	56.260426397369415	43.85796522504142
2282805	улица Политбойцов, 21А	56.263354009637425	43.854998742206526
2282811	улица Политбойцов, 4	56.260170759738315	43.852252801645385
2282815	улица Политбойцов, 23	56.262895728755325	43.855869180624964
2282817	улица Политбойцов, 21	56.26310990884598	43.855002532654616
2282822	улица Политбойцов, 16	56.26154215702513	43.85672834571768
2282824	улица Советской Армии, 16	56.25848063255382	43.851933575469616
2282826	улица Политбойцов, 10	56.26137167946218	43.853383941431304
2282829	улица Политбойцов, 14	56.26102293562739	43.856901909317074
2282832	улица Политбойцов, 6	56.26029054249046	43.85365199886854
2282840	улица Политбойцов, 8	56.260643233441	43.852939183760576
2284676	проспект Ленина, 127	56.243287612154745	43.86588859347407
2284931	Комсомольская улица, 11	56.25160899901855	43.86256815498532
2284934	улица Лоскутова, 14	56.24950808764473	43.861963884568674
2284937	Комсомольская улица, 7	56.251525417591566	43.863495392575395
2284939	Комсомольская улица, 3	56.25144412683128	43.86439691322587
2284940	Комсомольская улица, 9	56.251971458972484	43.86314945004961
2284944	проспект Октября, 15	56.25034416162667	43.864795048299044
2284945	Комсомольская улица, 5	56.25188917133953	43.864062384637386
2284946	проспект Октября, 17	56.251364963776204	43.86525222171632
2284947	Комсомольская улица, 1	56.25180756242971	43.864967802415315
2284950	проспект Октября, 13	56.249270189722075	43.8646476439777
2285092	улица Героя Советского Союза Поющева, 11	56.248744773772565	43.868490063017596
2292351	Комсомольская улица, 17	56.252166595717625	43.8571659926229
2293298	проспект Октября, 19	56.25285298646529	43.86558118806852
2293299	проспект Октября, 23	56.254711102148406	43.86610793130211
2293300	улица Лоскутова, 20	56.25366494237825	43.86319285922025
2293301	Моторный переулок, 1	56.25524648776802	43.8644898186303
2293312	проспект Октября, 21	56.25382030021098	43.86526774448962
2293329	Комсомольская улица, 2	56.252455029740844	43.86421414028052
2295021	улица Челюскинцев, 27	56.25813374325149	43.85880346990224
2295025	Школьная улица, 36	56.25846013140526	43.85727481138402
2296397	42	56.2266705589714	43.82558067418207
2297148	улица Советской Армии, 12Б	56.25866701441153	43.86110737609007
2297151	улица Раевского, 13	56.2604970261393	43.86412690129366
2297153	проспект Октября, 33	56.257737850000005	43.86702215000001
2297155	улица Советской Армии, 10Б	56.258798520397015	43.86218410614986
2297157	улица Раевского, 1	56.25847908331814	43.86666049570466
2297160	улица Раевского, 5	56.25926443745464	43.86267942715912
2297161	улица Раевского, 11	56.259753249999996	43.86447810000001
2297163	проспект Октября, 25	56.25627093772598	43.86658379404083
2298498	Мончегорская улица, 6А	56.23469551813338	43.83370004361322
2298661	улица Краснодонцев, 21	56.255954156837404	43.85224490966614
2298663	улица Краснодонцев, 19	56.25473133495296	43.85194002612792
2298665	улица Краснодонцев, 21 к1	56.25610040815781	43.85117063770046
2298667	Комсомольская улица, 44	56.25525283413252	43.848725249454525
2298669	улица Краснодонцев, 19А	56.255442302112414	43.85157001784049
2298674	улица Краснодонцев, 17	56.25383061785608	43.85179477091963
2298677	улица Краснодонцев, 21 к2	56.25617612248325	43.85018223241099
2298678	Комсомольская улица, 44Б	56.25573054325283	43.848261970708684
2298680	улица Краснодонцев, 19 к1	56.25531169483928	43.85216807862592
2298843	Комсомольская улица, 35	56.25308022644332	43.848176481936086
2300954	бульвар Виктора Коноваленко, 4	56.24886346160663	43.84620384657251
2300961	проспект Ильича, 38А	56.24852938541847	43.844547172662104
2300962	проспект Ильича, 40	56.24748812004026	43.84203704059116
2300967	улица Краснодонцев, 5	56.247420851222266	43.84999741175571
2300969	проспект Ильича, 36	56.247276115866576	43.844355643391054
2300970	улица Краснодонцев, 7	56.2490119195042	43.85042796886003
2301855	Молодёжный проспект, 31	56.24235129763578	43.84846464129218
2301856	Молодёжный проспект, 33	56.242537271456186	43.8473541947285
2301857	Молодёжный проспект, 35	56.242562920752825	43.8461596785653
2302037	Школьная улица, 26	56.255407283634476	43.85629566631775
2302038	Комсомольская улица, 10	56.253519050548036	43.856265475642545
2302381	улица Ватутина, 3	56.24574558807315	43.846354911436585
2302392	Молодёжный проспект, 38 к1	56.24460911970082	43.84253805612741
2302393	Молодёжный проспект, 38	56.243845915543716	43.843659649613485
2304055	проспект Ильича, 56А	56.24893997917241	43.828012751111
2306110	улица Лескова, 22	56.2355275115096	43.8615576966219
2307845	улица Героя Юрия Смирнова, 2	56.24044834374613	43.86755968703838
2307856	улица Фучика, 4	56.24168089801289	43.86832739751479
2307988	улица Переходникова, 7	56.256339624710904	43.88081234639877
2307989	улица Дьяконова, 18	56.259947678768924	43.879304044429986
2307998	улица Переходникова, 7	56.25646152865926	43.88067343556473
2307999	улица Переходникова, 5А	56.25794178031851	43.8754263938941
2308000	улица Переходникова, 9	56.25657867834371	43.881538405921575
2308002	улица Переходникова, 9	56.256722388989076	43.88135889457178
2308007	улица Дьяконова, 18	56.2598671244835	43.87942370587528
2308364	улица Старых Производственников, 18	56.22775850476314	43.860360752935335
2308389	улица Янки Купалы, 2	56.22454919183274	43.85630169746614
2308899	улица Переходникова, 25	56.2602902049663	43.89344503369733
2309747	улица Фучика, 8	56.23777810739669	43.87221844466074
2309748	улица Фучика, 8А	56.238187333793256	43.871899193128
2309750	улица Фучика, 6Б	56.24121208585216	43.87152208870331
2309751	улица Фучика, 6А	56.24080535870888	43.87020804510041
2309752	улица Фучика, 6А к1	56.24099219990928	43.87094430176178
2309764	улица Фучика, 8 к2	56.23596418447627	43.87630369566445
2311801		56.23707973935704	43.88009135970047
2311961	24	56.20224461776704	43.807559170631144
2311963	23	56.201471772343226	43.80684447696695
2311964	26	56.20330977147749	43.807347513742336
2311965	31	56.20037469913504	43.80693012474184
2311968	29	56.20109551013936	43.81002017731817
2311970	30	56.20047212147869	43.808838017824904
2313239	улица Родионова, 199 к2	56.301118411333846	44.07640346701255
2313243	улица Родионова, 193 к5	56.30311384447943	44.073144047621795
2313251	улица Родионова, 199 к1	56.30074060408668	44.07727707036726
2315813	Молодёжный проспект, 82	56.24798306929985	43.8051402977433
2315814	Молодёжный проспект, 82 к3	56.24788679184684	43.80616983628649
2316615	32	56.20089507473178	43.80628365273727
2316616	21	56.203225849999995	43.80898229999999
2318103	Анкудиновское шоссе, 26А	56.262812986589815	44.00094526249017
2318107	улица Карбышева, 3	56.26188577722631	43.99818434312545
2318108	улица Карбышева, 5	56.261631212576724	43.99726312926401
2318113	улица Карбышева, 7	56.26139104460571	43.99640740794584
2321309	проспект Бусыгина, 22	56.2659411	43.89404235
2321310	проспект Бусыгина, 20А	56.265417969777445	43.89574615824385
2321316	проспект Бусыгина, 20А	56.26552215681803	43.89600028139227
2321319	проспект Бусыгина, 22	56.26608801741896	43.89385364155804
2321324	улица Переходникова, 29	56.26267923651117	43.899449865809174
2321425	улица Веденяпина, 1	56.23753450395221	43.86888455193425
